ref_idx,hyp_idx,ref_pitch,hyp_pitch,ref_start_s,hyp_start_s,onset_err_ms,ref_end_s,hyp_end_s,offset_err_ms,pitch_equal
168,114,58,58,64.166667,64.213542,46.9,64.340833,64.401042,60.2,1
170,116,56,56,64.333333,64.403125,69.8,64.534167,64.590625,56.5,1
171,115,60,60,64.333333,64.373437,40.1,64.534167,64.623437,89.3,1
173,118,55,55,64.500000,64.603125,103.1,64.778333,64.853125,74.8,1
174,117,58,58,64.500000,64.553125,53.1,64.778333,64.865625,87.3,1
176,120,56,56,64.833333,64.882292,49.0,65.721667,66.194792,473.1,1
177,119,60,60,64.833333,64.852604,19.3,65.721667,66.227604,505.9,1
178,121,77,77,64.833333,64.911979,78.6,65.620000,65.661979,42.0,1
185,122,58,58,66.166667,66.229167,62.5,66.340833,66.416667,75.8,1
186,123,61,61,66.166667,66.239063,72.4,66.349167,66.426563,77.4,1
188,124,56,56,66.333333,66.378646,45.3,66.518333,66.628646,110.3,1
189,125,60,60,66.333333,66.408854,75.5,66.515833,66.596354,80.5,1
191,126,58,58,66.500000,66.558333,58.3,66.791667,66.870833,79.2,1
192,127,61,61,66.500000,66.568229,68.2,66.791667,66.880729,89.1,1
194,128,56,56,66.833333,66.857812,24.5,67.406667,69.170312,1763.6,1
195,129,60,60,66.833333,66.867708,34.4,67.400833,67.930208,529.4,1
200,130,58,58,67.833333,67.905208,71.9,71.469167,68.217708,3251.5,1
204,132,84,84,69.000000,69.142708,142.7,69.333333,69.330208,3.1,1
206,133,84,84,69.500000,69.601562,101.6,69.799167,69.851562,52.4,1
208,134,84,84,70.000000,70.090625,90.6,70.497500,70.340625,156.9,1
209,135,75,75,70.500000,70.589062,89.1,70.979167,71.026562,47.4,1
218,137,58,58,71.500000,71.507292,7.3,71.833333,71.819792,13.5,1
220,136,56,56,71.833333,71.507292,326.0,73.195000,73.132292,62.7,1
221,138,60,60,71.833333,71.866667,33.3,73.195000,73.241667,46.7,1
222,139,77,77,71.833333,71.896354,63.0,73.060000,73.146354,86.4,1
223,141,56,56,73.333333,73.343229,9.9,73.536667,73.655729,119.1,1
224,140,60,60,73.333333,73.333333,0.0,73.479167,73.833333,354.2,1
229,143,58,58,73.833333,73.841667,8.3,74.036667,74.091667,55.0,1
230,142,61,61,73.833333,73.821875,11.5,73.979167,74.321875,342.7,1
232,144,59,59,74.000000,74.081250,81.2,74.255000,74.331250,76.2,1
235,145,60,60,74.333333,74.360938,27.6,74.505000,74.548438,43.4,1
239,146,61,61,74.500000,74.550521,50.5,74.671667,74.863021,191.4,1
241,147,58,58,74.666667,74.740104,73.4,74.854167,74.927604,73.4,1
247,149,56,56,75.000000,74.879688,120.3,75.312500,75.692188,379.7,1
248,148,60,60,75.000000,74.869792,130.2,75.312500,75.744792,432.3,1
253,150,60,60,75.833333,75.817188,16.1,75.979167,76.067188,88.0,1
254,151,56,56,76.000000,75.837500,162.5,76.291667,76.400000,108.3,1
255,152,59,59,76.000000,76.056771,56.8,76.291667,76.369271,77.6,1
257,153,58,58,76.333333,76.366146,32.8,76.645833,76.741146,95.3,1
258,154,61,61,76.333333,76.366146,32.8,76.645833,76.741146,95.3,1
263,155,59,59,77.000000,76.725521,274.5,77.307500,77.350521,43.0,1
264,156,63,63,77.000000,76.755208,244.8,77.307500,77.317708,10.2,1
266,157,58,58,77.333333,77.373958,40.6,77.625000,77.686458,61.5,1
267,158,61,61,77.333333,77.373958,40.6,77.625000,77.686458,61.5,1
269,160,56,56,77.666667,77.703125,36.5,77.844167,77.953125,109.0,1
270,159,59,59,77.666667,77.693229,26.6,77.979167,78.130729,151.6,1
272,162,53,53,78.000000,78.012500,12.5,79.294167,79.387500,93.3,1
273,161,56,56,78.000000,78.002604,2.6,79.289167,79.315104,25.9,1
276,163,59,59,79.500000,79.508854,8.9,79.805000,79.946354,141.4,1
278,165,53,53,79.833333,79.848438,15.1,81.817500,81.848438,30.9,1
279,164,56,56,79.833333,79.519271,314.1,81.817500,81.206771,610.7,1
281,167,56,56,82.000000,82.023438,23.4,82.164167,82.460938,296.8,1
